,unique_label,label,centroid-0,centroid-1,area,perimeter,equivalent_diameter,eccentricity,convex_area,mean_intensity-R,mean_intensity-G,mean_intensity-B
0,i0_d25_30ul-nr5_1,1,330.3562874251497,1065.5538922155688,334,65.94112549695429,20.62188177498708,0.36048792730401835,345,202.9011976047904,163.52994011976048,153.9880239520958
1,i0_d25_30ul-nr5_2,2,410.12736361660507,889.6581178004782,9202,356.19090885900994,108.24209112287589,0.29353011988766897,9288,233.80460769397956,209.99500108672026,205.79471853944796
2,i0_d25_30ul-nr5_3,3,426.9827895595432,637.6116639477978,12260,697.938166904124,124.93965270662912,0.4012350359445733,14614,160.25546492659055,125.34991843393148,110.61125611745514
3,i0_d25_30ul-nr5_4,4,477.71921602045165,1329.3591819343844,2347,180.75230867899737,54.66528342095582,0.3037604819451085,2398,193.52705581593523,146.1627609714529,134.37025990626333
4,i0_d25_30ul-nr5_5,5,465.9566003616637,1166.368896925859,553,87.25483399593904,26.534910368014152,0.5124457780884336,573,218.33815551537072,171.15370705244123,152.22423146473778
5,i0_d25_30ul-nr5_6,6,506.23809523809524,1219.6583850931677,483,81.94112549695427,24.798683434954437,0.6329890930122043,504,211.67701863354037,163.40372670807454,144.79089026915113
6,i0_d25_30ul-nr5_7,7,567.7822267620021,620.5151174668028,9790,390.5756851698602,111.6468322119228,0.24187280727676866,9953,160.0752808988764,86.46618998978549,46.78723186925434
7,i0_d25_30ul-nr5_8,8,649.3994781164749,1398.0349899181592,8431,345.4629867976521,103.6083133810321,0.5105753566702308,8547,203.69102123117068,142.13580832641443,122.16890048630056
8,i0_d25_30ul-nr5_9,9,639.7319727891156,1220.4530612244898,735,99.49747468305833,30.591356056578213,0.06825319398515102,757,157.69931972789115,122.17959183673469,114.47210884353741
9,i0_d25_30ul-nr5_10,10,717.1530542600386,1687.0254806051644,17582,577.2691193458119,149.61984385613303,0.5555901485805153,18438,150.93936981003299,131.5163235126834,123.61181890569901
10,i0_d25_30ul-nr5_11,11,711.2994746059545,787.3012259194396,571,87.25483399593904,26.963304323539017,0.26405351867266935,589,167.98248686514887,123.99124343257444,112.95621716287215
11,i0_d25_30ul-nr5_12,12,720.8018867924528,1386.992924528302,2120,170.61017305526642,51.95447848683061,0.5658216583589832,2154,209.53632075471697,139.66650943396226,114.56839622641509
12,i0_d25_30ul-nr5_13,13,853.7528123444499,1529.3382777501245,10045,412.9604614807104,113.0915170420165,0.5625031346284852,10528,163.98088601294177,125.20288700846191,114.36585365853658
13,i0_d25_30ul-nr5_14,14,953.20957309185,601.3794739111686,6957,312.97770542341357,94.11656343451203,0.09476499830130948,7065,221.77087825212016,158.4494753485698,140.55038091131235
14,i0_d25_30ul-nr5_15,15,971.2612399432087,1563.8490298154284,2113,170.36753236814712,51.86863366260383,0.1858816459795507,2162,173.2834831992428,107.88387096774194,93.82903225806452
15,i0_d25_30ul-nr5_16,16,976.563315926893,801.7415143603133,1532,143.53910524340094,44.16563123667847,0.11823100590531498,1559,149.22911227154046,130.13629910080454,117.63511594888784
16,i0_d25_30ul-nr5_17,17,968.3333333333334,1479.1333333333334,150,44.62741699796952,13.81976597885342,0.3868771733042454,159,150.29333333333332,109.97323759791122,102.60639686684073
17,i0_d25_30ul-nr5_18,18,999.223880597015,1415.2395167022032,1407,137.29646455628165,42.32550105364819,0.23291599555847795,1435,152.3319118692253,111.58,98.04
18,i0_d25_30ul-nr5_19,19,1126.9337819873713,1281.6390827517448,12036,464.45793616376875,123.79301741387685,0.48698306487085413,12527,138.9615320704553,113.59132906894101,103.46552949538024
19,i0_d25_30ul-nr5_20,20,1143.8399739441973,761.4862664205841,9211,382.9604614807104,108.29501118036595,0.46844149468758095,9429,139.92172402562153,101.86939182452642,92.63476237952808
20,i0_d25_30ul-nr5_21,21,1258.0103300878652,305.94977440037997,8422,405.4041122946064,103.55299824611328,0.7144290151755712,9183,205.78283068154832,102.32515470632939,93.8061014004994
21,i0_d25_30ul-nr5_22,22,1253.441926345609,820.7365439093485,353,67.698484809835,21.200319792199185,0.39444528978019183,363,169.60056657223797,160.26359534552364,145.14010923771076
22,i0_d25_30ul-nr5_23,23,1629.4098360655737,1327.5901639344263,244,56.2842712474619,17.625846048215095,0.19819659070725792,254,195.4139344262295,18.790617189002116,17.054797154393388
